id,title,author,text,label
,An update on our political ads policy,,We’re proud that people around the world use Google to find relevant information about elections and that candidates use Google and search ads to raise small-dollar donations that help fund their campaigns. We’re also committed to a wide range of efforts to h…,1
,BPO firms left in the lurch over input tax refund,,The Maharashtra Appellate Authority for Advance Ruling (AAAR) had held in a ruling in February that back-office support services did not qualify as “export of service” and were in the nature of arranging or facilitating supply of goods or services between ove…,1
,1045 page Ram Mandir Verdict to be included in JNU syllabus to make students stay longer,,"The #AyodhyaVerdict is finally out. The established practice is to specify the name of the judge who has authored the judgment on behalf of a bench. The reason behind the decision to not mention the name of the author of the 1,045-page judgment is not clear. However, it may have resulted out of the sensitivity of the case. But JNU should be thankful to the Supreme Court as it has given JNU extra study material which will help them keep the students there for a longer time. Normally a student stays in JNU for 20-25 years of his life, then he decides to pursue something else rather than just doing pHD. Kanhaiya Kumar, Sheila, and many more are still pursuing pHDs and JNU staff is always happy if a student stays longer and longer. The Ram Mandir verdict will be part of JNU syllabus from next year and students will do a pHD in it which may take an approximate time of 10-12 years. This will ensure that same students stay in JNU and help run the college in future.",0
,Congress wants a 'grand temple' in Ayodhya: Pilot,,"India News: JAIPUR: The Congress wants a ""grand temple"" to be built in Ayodhya, Rajasthan deputy chief minister Sachin Pilot said on Friday, days after the Suprem.",1
,BJP leader sees Pak. hand behind pollution,,‘New ploy of releasing toxic gases’,1
,Meelath Committee accepts SC verdict on Ayodhya issue,,The members of the Chennai City Meelath Committee on Sunday said that it accepted the Supreme Court decision on the Babri Masjid-Ram Janmabhoomi dispute and called for all the communities to live in u,1
,Donald Trump Says he Can Mediate On Ram Mandir Issue If Both Parties Agree,,"Soon after US President Donald Trump offered to mediate between India and Pakistan on Kashmir issue a major part of the issue got resolved. With the abrogation of Article 370, India government has made J&K a Union Territory, thus removing the role of Pakistan in J&K and to further make Pakistan irrelevant, Defence Minister, Rajnath Singh said that there’s no need to talk to Pakistan and in case the talk happens it will happen only about PoK, Pakistan occupied Kashmir. Although, it was all about BJP led NDA government smartness and courage to resolve the Kashmir issue, Donald Trump is taking all the credit as the issue got resolved only after he offered to mediate. Seeing his as an omen, Hindu Maha Sabha has approached him to request him to offer to mediate, however, the other party Sunni Waqf Board is reluctant to get the matter resolved. Reportedly, Trump is likely to accept the offer of offering the mediation only if the case gets resolved without he actually meditating as it will save thousands of dollars when the world economy is looking not so positive. If sources are to be believed Trump may offer to mediate between Pakistan and Balchosutan too after Ram Mandir issue gets resolved. Details awaited.",0
,Industries saying they are out of distress: FM,,"India Business News: In an exclusive interview with Times of India, finance minister Nirmala Sitharaman talks about how government’s measures are starting to show results.",1
,India caucus co-chair statement to U.S. Congressional Record supports Modi,,Indian officials lobby Capitol Hill after last week’s hearing on Kashmir,1
,Anger over India's diplomat calling for 'Israel model' in Kashmir,,"In video posted by filmmaker, India's Consul General to US seems to advocate Israel-like settlements of Kashmiri Hindus.",1
,"EU MPs’ day out: Shikara ride amid protests, briefing on J&K",,"In the document titled ‘Briefing notes and background on Kashmir’, the government provided the visiting EU MPs a condensed account of events that unfolded in the Valley over the past three months.",1
,Has MTech fee hike led to a decline in GATE 2020 registrations?,,"GATE 2020: Despite the lockdown in the Valley following the scrapping of Article 370, over 10,000 from the region have applied for GATE 2020. As per the data provided by the GATE 2020 office, a total of 5464 candidates applied from Jammu-Samba region and 5140…",1
,T.N. Seshan redefined very grammar of electoral process: ECI,,"The ECI, including CEC Sunil Arora and Election Commissioner Ashok Lavasa, held a condolence meeting for Seshan at its headquarters here on Monday morning",1
,SECURE SYNOPSIS: 11 NOVEMBER 2019,,SECURE SYNOPSIS: 11 NOVEMBER 2019 NOTE: Please remember that following ‘answers’ are NOT ‘model answers’. They are NOT synopsis too if we go by definition of the term. What we are providing is content that both meets demand of the question and at the same tim…,1
,Facebook starts ‘Mark Yourself Safe’ feature for Maharashtra MLAs,,"Mumbai. Maharashtra politics has been as entertaining as a Bollywood thriller. Each day comes up with new surprises and it is a never-ending story. Abbas Mastan have in fact bought the rights of making the movie on Maharashtra elections 2019. Mark Zuckerberg has come to the rescue of all political parties in Maharashtra who want to keep their MLAs safe from poaching. Facebook will provide limited edition ‘Mark Yourself Safe’ service for the Maharashtra MLAs so that they can let their leaders know that they are safe and no one has offered them money. The safety feature will take into account the calls and messages that one has received before being activated. If an MLA is not marked safe, a notification will go to his leader who will then try to help him out of the situation. The service will be activated from today and it is to be seen how many MLAs avail this exciting service.",0
,"RCEP agreement: Can ill-afford to be dumping ground for products, says Sonia Gandhi",,Sonia Gandhi was speaking to top leaders who were meeting to review preparations for a ten-day nationwide agitation to be launched from November 5.,1
,Bhandari makes a case for govt intervention in stressed NBFCs,,"Until NBFCs revive, rural incomes won't revive in a big way, says HSBC  Chief India  Economist",1
,Full text of Ayodhya verdict,,"The Supreme Court on Saturday cleared the way for the construction of a Ram Temple at the disputed site at Ayodhya, and directed the Centre to allot a 5-acre plot to the Sunni Waqf Board for building",1
,Exemptions for Development to MSMEs,,"Under Goods and Services Tax (GST) Act, Micro & Small units with turnover up to Rs. 1.5 crore are allowed to avail benefits under the composition scheme. Ministry of Micro, Small and Medium Enterprises (MSME) has launched the Interest Subvention Scheme for ne…",1
,PM to attend FII in Saudi: All you need to know,,Prime Minister Narendra Modi is scheduled to attend the third edition of Saudi Arabia's high-profile annual financial conference on Tuesday. He will also hold bilateral talks with top leadership of the Gulf Kingdom. The Prime Minister is on a two-day visit to…,1
,UN asks Pakistan to remove big trees after latter complains India planning bigger attack than Balakot,,"Rattled with Indian government’s decision of abolishing Article 370, Pakistan PM Imran Khan has been cooking up conspiracy stories to draw UN’s and US’s attention towards him. Pakistan, which claims PoK and Jammu & Kashmir as its own territory got a big blow when Home Minister Amit Shah passed the bill that scrapped Article 370. Since then Imran Khan is trying to target India at global level, and in one such desperate attempt, the Pakistani PM by mistake accepted that Indian Air Force did Balakot Air Strike and also complained that India is planning bigger attack than Balakot. However, Pakistan had earlier said that Balakot strike by India was a waste as it only uprooted a few trees. UN on Friday issued a statement answering Pakistan’s worry of attack by India. UN suggested Pakistan remove all the big trees or to shift them to some remote location so that when India does an attack bigger than Balakot there’s no loss of trees. While Pakistan is complying with the UN’s suggestion, Social media users are royally trolling Pakistan and its leaders. The detail on this is awaited.",0
,Blog: Only ‘ism’ in Indian politics is opportunism,,"A week is a long time in British politics. At the moment, parties are releasing their manifestos and preparing for debates on Brexit and the economy based on their declared positions. In India, on the...",1
,PM Modi’s 'Trumpian' trade exit may be a tactical retreat for India,,"As Indian officials held last-minute talks on joining the world’s biggest regional trade deal at a summit in Bangkok, farmers back home were launching nationwide demonstrations -- chanting, holding up placards and burning signs in protest.",1
,"India Life Insurance Market Report, Forecast to 2023 - Increasing Rural Income and Improving Infrastructure Expected to Drive Growth",,"The ""Life Insurance Market in India (2018-2023) with data on Insurance Penetration and Total Premium of LIC, ICICI Prudential Life, HDFC Life, Others"" report has been added to ResearchAndMarkets.com's offering.",1
,Nur-Sultan to host India-Pakistan Davis Cup tie,,"The International Tennis Federation (ITF) has moved India-Pakistan Davis Cup matchup to a neutral venue in Kazakhstan. The best-of-five series between the arch rivals will be played in Nur-Sultan on November 29-30. ""The Davis Cup Committee has voted in favor …",1
,Ayodhya verdict: Ram Naam Bank announces ‘bonus’ for account holders,,"The Allahabad-based ‘bank’ neither has ATMs, nor cheque books and its only ‘currency’ is Lord Ram",1
,Writing judgments part of judge’s business: CJI,,"A day after the verdict on the Ayodhya dispute, Chief Justice of India Ranjan Gogoi on Sunday said writing judgments was part of the business of a judge and that the justice delivery system was not ab",1
,Several areas barricaded in Ayodhya,,Civilian presence was noticeably thin in the city on Saturday,1
,Mumbaikars says metro could have eased their journey from their home to voting booths,,"Maharashtra votes today to elect the next government in the state. Polling began at 7 am this morning and will be on till 6 pm. The voter turnout till 3 pm was only 34.2 per cent, significantly down when compared to the turnout till 3 pm in 2014. Mumbai is even lower at 30 %. Mumbaikars gave various reasons for the low turnout. People in suburbs said that they have to go to office tomorrow so they have to catch a train today as the commute is way too long. Some said that they show their spirit only during heavy rains and as there is no rain today they won’t go out and vote. But the best reasons came from people who were protesting the metro construction at Aarey few days back. Shraddha Kapoor and the other protestors said that they would have gone out and voted if there was a metro available for commute. They also accused the government of not providing metro service to the voters in a city like Mumbai where travelling is hell.",0
,Kin of Jammu and Kashmir political detainees stage protest,,“The leaders are being subjected to inhuman conditions”,1
,How Kamala Harris Went From ‘Female Obama’ to Fifth Place,,"She entered the 2020 presidential race with promise and charisma, but is now sliding perilously close to irrelevance. What went wrong? And is it too late for her to reverse course?",1
,Indian Muslims anxious as court prepares to rule on destroyed mosque,,"In the Indian town of Ayodhya, minority Muslims are feeling under siege as they await a Supreme Court ruling on a centuries-old religious dispute that has cast a shadow over their relations with the majority Hindu community. After a tangle of legal cases, the…",1
,"Janhvi Kapoor condemns scrapping Article 370, says someone had given effort and time to write so many articles",,"As home minister announced the scrapping of Article 370 from Kashmir and the formation of 2 Union territories, people who were eagerly waiting for Kashmir’s full integration into India had a moment of relief. The decision was long pending. But with appreciation for the decision, there also came some criticism. An expert on all topics, star kid Janhvi Kapoor has condemned the decision saying that someone had put so much effort in writing these many articles and how can the government be so brutal in scrapping them all. The government should have removed only some articles and then moved on to remove others after a gap of time. Janhvi who explained us the true meaning of ‘puppy’ in her very first film is taken seriously by economic experts and political pundits also. She is the poster girl of ‘Knowledgeable India’. Many youngsters look up to her to get opinions on important national and international topics. NDTV wants to do a news debate on Janhvi’s comments as they feel that the government should answer her concerns.",0
,"India announces $400 million loan for Sri Lanka, in support of new president",,"India will lend Sri Lanka $400 million for infrastructure projects, Prime Minister Narendra Modi said on Friday after talks with the island nation's new President Gotabaya Rajapaksa aimed at improving bilateral ties.",1
,Visiting Kashmir,,"The Centre must change the situation in Kashmir, not just the global perception of it",1
,Industrial Development in Border Areas,,"Department for Promotion of Industry and Internal Trade (DPIIT) in the Ministry of Commerce and Industry has been implementing several schemes for industrial development in the border areas being Hill states, in the Union Territory of Jammu & Kashmir and Unio…",1
,"2nd Diwali, say Ayodhya devotees with sweets",,"India News: AYODHYA: The Supreme Court’s verdict was celebrated as a “second Diwali” by Ram devotees, who thronged the Hanuman Garhi temple here dancing, singing .",1
,1045 page Ram Mandir Verdict to be included in JNU syllabus to make students stay longer,,"The #AyodhyaVerdict is finally out. The established practice is to specify the name of the judge who has authored the judgment on behalf of a bench. The reason behind the decision to not mention the name of the author of the 1,045-page judgment is not clear. However, it may have resulted out of the sensitivity of the case. But JNU should be thankful to the Supreme Court as it has given JNU extra study material which will help them keep the students there for a longer time. Normally a student stays in JNU for 20-25 years of his life, then he decides to pursue something else rather than just doing pHD. Kanhaiya Kumar, Sheila, and many more are still pursuing pHDs and JNU staff is always happy if a student stays longer and longer. The Ram Mandir verdict will be part of JNU syllabus from next year and students will do a pHD in it which may take an approximate time of 10-12 years. This will ensure that same students stay in JNU and help run the college in future.",0
,This Indian City Has Been Ground Zero for Hindu-Muslim Clashes for Decades. An Imminent Supreme Court Verdict Could Reignite Tensions,,"India’s Supreme Court is preparing to hand down its final verdict on a decades-old flashpoint in Indian politics, which set off violent riots in 1992 and facilitated the rise of Hindu nationalists to political dominance. Hindus believe that centuries ago a te…",1
,PDP expels MP Nazir Ahmad Laway from party for attending swearing-in of Lt Governor Murmu,,"“The member of Rajya Sabha, Nazir Ahmed Laway, has been expelled from the basic membership of the party,” a PDP spokesman said in a statement",1
,Indian Muslims anxious as court prepares to rule on destroyed mosque,,"In the Indian town of Ayodhya, minority Muslims are feeling under siege as they await a Supreme Court ruling on a centuries-old religious dispute that has cast a shadow over their relations with the majority Hindu community. After a tangle of legal cases, the…",1
,Arvind Kejriwal To Upload Video While Walking To Prove That He Wasn’t Beaten Up,,"AAP supremo and Delhi CM Arvind Kejriwal were allegedly beaten up by his own party MLAs a few days ago at his own place of residence over a disagreement. Since then he has not made any public appearances. After Kapil Mishra, Senior AAP leader Kumar Vishwas too tweeted hinting that Arvind Kejriwal has not only been physically assaulted by AAP MLAs but Kejriwal is injured to the extent that he isn’t able to walk anymore. Soon after their tweets many social media users started targeting CM Kejriwal in his own language asking him for proof. One of the users compared CM Arvind Kejriwal with Balakot, where Indian Air Force dropped bombs. “Arvind Kejriwal’s state has been reduced to that of the Balakot air strike area where no media is allowed access. After some time they will claim that nothing happened.” And In response to people’s accusations, Arvind Kejriwal has announced to upload a video where viewers can see him walking. However, the date of the video upload isn’t announced yet and hence, users are saying that this will happen only after CM Kejriwal is healed.",0
,"Ancient Hindu Sculptures Were Seen After We Dug The Pitch At Feroz Shah Kotla In The Year 1999, Claims A Shiv Sainik",,"The historic verdict on Ayodhya land dispute has sparked a new debate and many old cases of temples discovered beneath mosques are getting reported. One such case has been reported by a Shiv Sainik who was allegedly involved in the New Delhi’s Ferozeshah Kotla stadium pitch digging case ahead of India vs Pakistan test in 1999. The Shivsainik claimed that the small structures of size 0.5 metres to 1 meter were seen after they dug the pitch. These structures had resemblance to ancient Hindu sculptures. Soon after his statement, there were demands of renaming the Feroz Shah Kotla stadium, which has already been named after former finance minister Lt. Shri Arun Jaitley. However, many Hindu outfits are demanding the stadium to be dug deeper to find the entire structure beneath the whole stadium and temple be built if its existence is found.",0
,Ayodhya case: Meet the five judges who will deliver verdict today,,"The Supreme Court is all set to deliver verdict in 70-year-old Ayodhya land dispute case today. A five-judge Constitution Bench, that was set up on January 8, 2019, heard the case for over 40 days from August to October. The verdict will come at 10.30 am. Her…",1
,SECURE SYNOPSIS: 05 NOVEMBER 2019,,SECURE SYNOPSIS: 05 NOVEMBER 2019 NOTE: Please remember that following ‘answers’ are NOT ‘model answers’. They are NOT synopsis too if we go by definition of the term. What we are providing is content that both meets demand of the question and at the same tim…,1
,India strips British Modi critic of overseas citizenship,,"An Indian-origin British journalist critical of Prime Minister Narendra Modi has lost his Indian overseas citizenship, a move campaigners said underlined the government's hostility to a free press. The home ministry said Thursday that Aatish Taseer had ""conce…",1
,Huawei ban: Full timeline as FCC bars Chinese companies from billions in federal subsidies - CNET,,Here's a breakdown of how the saga of the controversial Chinese telecom giant and phone maker has unfolded.,1
,Blog: Was the waiting game necessary?,,Those who made a political somersault to prostrate at the feet of the Goddess of power are today questioning the Governor of Maharashtra’s decision to “rush through” the motions of imposing President’s Rule in the...,1
,Figure it out,,"Decision to scrap consumption expenditure survey is unfortunate, further weakens credibility of statistical system",1
,MAKEMYTRIP LIMITED (MMYT) Q2 2020 Earnings Call Transcript,,"MMYT earnings call for the period ending September 30, 2019.",1
,"A Study By Leading Coffee Chain Roasta Coffee, Shows Coffee Is Very Good For Health",,"A well-known coffee chain with declining sales growth has recently conducted a study which proves that there’s no connection between coffee and increased risk of heart disease or cancer. The study also shows that people who die due to excess of caffeine in their body are simply unlucky because there are many with a higher amount of coffee in their body who are still living a good life. CEO John Panic spoke to The Fauxy, John said “Look, its stupid to blame everything on coffee. Coffee has been doing amazing things for people, it has also changed several lives, but we don’t get credit for that. Today you woke-up because of coffee, tomorrow you won’t, that’s as simple as that.” The study also shows that asking a girl out for coffee increases one’s chances of getting laid. A whopping 83% of youngsters get laid after asking girls for coffee whereas in case of Tea and other beverages the figure is below 10%. Although caffeine in your bloodstream causes the blood pressure to rise, nowadays it is quite common for almost every second person to have blood pressure related issues. Hence, the concept that coffee is not good for the heart is fundamentally flawed.",0
,SECURE SYNOPSIS: 20 NOVEMBER 2019,,SECURE SYNOPSIS: 20 NOVEMBER 2019 NOTE: Please remember that following ‘answers’ are NOT ‘model answers’. They are NOT synopsis too if we go by definition of the term. What we are providing is content that both meets demand of the question and at the same tim…,1
,Analysis: Congress still unsure of its stand on Citizenship Amendment Bill,,"Sources say six-member committee found that all northeastern States, barring Assam, are against the CAB",1
,Kartik Purnima: Devotees take holy dip amid high security in Ayodhya,,People began flocking to the ghats along withe Sarayu river since early the hours amid chants of “Sita Ram”.,1
,Your guide to the new GST e-invoicing system,,"Your guide to the new GST e-invoicing systemE-invoicing in India will be a big move, due to the volume of business transactions undertaken every day.",1
,"New Delhi: Man goes on fast and dharna in front of girlfriend’s house, finally convinces her to get married",,"It is a popular stereotype that New Delhi is a land of rallies, protest marches, processions, and dharnas. So far such things happened mostly for political or social activities, but this time it happened for love. Dharna and fasting for getting back love are rarely heard of, though this is precisely what happened in New Delhi. Arvind Kejriwal was in a relationship with a girl named Sunita for the last eight years. But recently, Sunita ended all communication with him. She had virtually become incommunicado over the phone, WhatsApp and other social media sites. Sensing something amiss, Arvind did some digging and found out that Sunita’s family is looking to get her married elsewhere. The prospective groom was about to visit Sunita’s home. Sensing that he has little time to get back love, Arvind started a fast cum dharna in front of Sunita’s house from Sunday. He was carrying a placard where it was written, ‘Give back my eight years’. Soon one-sided lovers got wind of this unique dharna and came out in support of Arvind. In the meanwhile, the family of the guy who was set to marry Sunita also arrived at the spot. Police too reached the dharna location but they couldn’t stop Arvind from keeping his fast to in order to get back his love. As the hours went on, Arvind’s health worsened and he was rushed to the hospital. Finally, Sunita agreed to marry her old boyfriend and after intervention from locals, her family also came around. Arvind and Sunita got married instantly and went to a local mandir to complete all rituals. Note: All characters and events depicted in this article are entirely fictitious. Any similarity to Delhi’s CM Arvind Kejriwal or his love life is purely coincidental.",0
,"Morning digest: Piyush Goyal says India could join RCEP if demands are met, economic slowdown will lighten India’s carbon burden, and more",,"The major news headlines of the day, and more.",1
,Muslim Man Converts to Hinduism To Demolish Modi’s “Hindu Can Never Be A Terrorist” Claim,,"Lok Sabha elections have entered its 7th and last phase and political leaders are still trying tooth and nail to polarise the electoral process. On Sunday, during a rally in a Muslim majority city, while addressing more than ten people, actor-turned-politician Kamal Haasan claimed that Nathuram Godse was the first Hindu terrorist of Independent India. Earlier, while countering the ‘Hindutva Terrorism’ term infamously coined by the Congress party, PM Modi said in a roaring voice “A Hindu can never be a terrorist!”. Soon after his statement, the opposition started bringing out cases where a Hindu has done violence, although carefully excluding Rajiv Gandhi from the list. In a similar attempt, a Muslim man decided to convert to Hinduism right before joining ISIS so as to quash Modi’s claim that a Hindu can never be terrorist. If rumours are to be believed the Muslim man is also going to join RSS and demand the building of Ram Mandir in Ayodhya after conversion so that the opposition is also able to attack him using terms like ‘Sanghi’. More on this awaited.",0
,India “Post Payments” Bank: A Way To Lure Vijay Mallya And Nirav Modi?,,"On Saturday, Prime Minister Modi launched India Post Payments Bank (IPPB) with the aim of maximizing financial inclusiveness. Three lakh postmen and ‘Grameen Dak Sewaks’ with digital aids will take banking to the doorstep of every Indian. However, the scheme is conveniently named as “Post Payments” which raises concerns and suggests that the government has a bigger hidden agenda other than just financial inclusion. Finance experts believe that the name has been deliberately kept like this so as to lure loan defaulters like Vijay Mallya and Nirav Modi, who are currently absconding and showing no signs of coming back. Since such fugitives are always on the look for seeking more loans, the ‘Post Payments’ Bank will certainly excite them and they may consider returning to India. While on the domestic front, Congress leader Ahmed Patel has already expressed interest in opening an account with IPPB, which further confirms that economic offenders may easily take the bait. 2019’s General Election is nearing and PM Modi is doing all that it takes to bring all economic fugitives under one roof, i.e. Tihar. Rate the Article: Donate ₹500Donate ₹250Donate ₹100Donate ₹50Donate ₹x",0
,International flight connectivity: industry waits with hope,,Two private airliners are expected to announce their operations from Coimbatore,1
,Ayodhya verdict live updates: Supreme Court to pronounce judgment at 10:30 am,,The five-judge Consitution Bench of Supreme Court will deliver its verdict on appeal against Allahabad High Court’s verdict of splitting the disputed Ayodhya land among Hindus and Muslims.,1
,Zomato Delivery Boy Hired By Food Safety and Standards Authority Of India,,"Zomato, which is one of the most popular online food delivery companies, was recently in the news for all the wrong reasons. A video footage that went viral on social media had a food delivery boy in Zomato eating out from packaged food containers. He was later fired and the internet gave mixed reactions to the incident. Where several users trolled Zomato, at the same time some users showed sympathy for the delivery boy who was allegedly hungry. However, a few became fans of Zomato after the incident, since it meant something different to them altogether. They were impressed by the company’s superior service of tasting the food before serving it. The delivery boy who lost his job has now been hired by government’s FSSAI, Food Safety and Standards Authority Of India, department. The delivery boy is currently under training department, where he’ll be training approximately 500 youngsters the art and etiquette of serving food. This shall involve checking the item’s temperature, the seasoning, ingredients etc. before serving it. Speaking to The Fauxy, FSSAI head said “Look the intent is more important in everything you do. When we interviewed him we realised that he never intended to eat the food but to check its quality. It’s important for us since we don’t have any machine or technology to verify the tasty food. Hence, we hired him.”",0
,CAIT demands that government set up panel to look into allegations against Flipkart,,"In a statement, the Confederation of All India Traders (CAIT) has levelled several allegations against Flipkart which include ""circumventing the law, causing huge GST and Income Tax revenue loss to the government, gross manipulations for controlling inventory…",1
,Train services partially restored in Kashmir,,"Officials said that on the Banihal- Baramulla line, train services between Srinagar and Baramulla were restored from Tuesday, while the decision about restoring train services from Srinagar to Banihal would be taken soon.",1
,Blog: Was the waiting game necessary?,,Those who made a political somersault to prostrate at the feet of the Goddess of power are today questioning the Governor of Maharashtra’s decision to “rush through” the motions of imposing President’s Rule in the...,1
,"GST Council, finance panel should work in tandem",,‘Coordination mechanism a necessity’,1
,Answer every question raised on restrictions imposed in Kashmir: SC to J&K administration,,The Solicitor General said he has a status report with him but he has not filed it in the court as the situation in Jammu and Kashmir is changing every single day.,1
,Sri Lanka’s Powerful Rajapaksa Family Set to Win Presidential Election,,"Gotabaya Rajapaksa, a polarizing wartime defense chief, vowed to bring stability to a country still reeling from deadly attacks on Easter Sunday.",1
,In Pictures: 100 days of crippling lockdown in Kashmir,,Disputed Himalayan region reels under unprecedented security lockdown since its special status was scrapped in August.,1
,Ayodhya verdict: Feuding brothers hope for truce,,"Even as the Supreme Court on Saturday ended the Ayodhya dispute with verdict in favour of Ram temple, two feuding restaurateur brothers on the stretch leading to the site kept wooing visitors in a bid to scale up their cash registers.",1
,A JNU Student Breaks his iPhone 11 in Anger Because of Hike in Hostel Rent,,"Jamal Ansari, a JNU student, was already frustrated with the recent verdict of Supreme Court on Ayodhya. Jamal was trying hard to understand the 1045-page verdict given by the apex court, further raising his frustration to the next level. Amid all this, his friend got him the news that the hostel rent has been increased by ₹30 per month by the JNU authorities. The rent, which was previously ₹120 per month, has become ₹150 per month after the increment. Jamal couldn’t resist the news of tremendous increase in hostel rent and threw his iPhone 11 against the wall. He regretted breaking his iPhone 11 later. Now, Jamal is planning to call other students to protest against the hike hostel rent along with the demand for compensation of his phone.",0
,Ekta Kapoor to approach Sanjay Raut for a role as he keeps repeating the same lines 3-4 times,,"Ekta Kapoor is the queen of TV. She has redefined TV viewing for the Indian audience. But in this process, she has also presented the Indian society and family in a way that is far from reality. Remember the ‘nahi’ s and the ‘kya’s that would be said at least 3 times in various angles, because impact you know! Sanjay Raut has become the poster boy for the same. Raut Ji has been saying the same sentence since last 4-5 days ‘ CM will be from Shiv Sena ‘. He repeated it so many times that even Ekta is impressed with her. For her next serial which is not yet titled, Ekta wants to rope in Sanjay to create maximum impact from the show. Sanjay has not been approached yet as he is too busy with the government formation in Maharashtra but he will soon take a call on the most important break of his life.",0
,Trump calls Ukraine corrupt. He still wanted to build a resort there.,,The president has chided political rival Joe Biden’s son for using his political connections while working with a Ukrainian gas company.,1
,Jharkhand Assembly elections: BJP declares candidates for 52 seats,,"The list included 31 incumbents, while 10 sitting MLAs have been dropped.",1
,Ranu Mandal Demands Land for Church Too in the Disputed Ayodhya Land,,"Supreme Court of India gave a historic judgement on Ayodhya dispute. Of both the parties – Hindus and Muslims – some welcomed the verdict and some are not satisfied. While all this, another major community of India i.e. Christians, felt left out. Therefore, some Christian organisations came together and requested the new prominent figure among Christians, Ranu Mondal, to speak on their behalf. Ranu Mondal decided to file a claim demanding some land in Ayodhya to be dedicated for Christians as well so that they can build a grand Church. She said that this will be a display of true secularism of India if Supreme Court allots some land to Christians. I will also request Sidhhu ji to come forward and demand some land for Gurudwara. The Fauxy tried to speak with Ranu but she said she has no time as she wanted to practice singing. We heard her calling her personal assistant saying, “aaaaaa aaaaaa”.",0
,The End of the American International Order: What Comes Next?,,"This is the text of a speech delivered by Ian Bremmer on November 18 at the 2019 GZERO Summit in Tokyo. China has made its decision. Beijing is building a separate system of Chinese technology—its own standards, infrastructure, and supply chains—to compete wi…",1
,Ayodhya: 'Can illegally placed idol be called deity?',,"How can an “illegally placed” idol, forced on another person’s property, be a deity?",1
,"As Jammu & Kashmir loses its political status, here’s what the past 80 days have meant for it",,J&K turns Indian union territory today.,1
,"Decision on NCP, TMC, CPI national status likely next year",,"The Election Commission of India is likely to take a call on whether the Nationalist Congress Party, the All-India Trinamool Congress and the Communist Party of India can continue to have the status o",1
,Indian court rules in favour of Hindu temple on disputed land - CTV News,,"Indian court rules in favour of Hindu temple on disputed land CTV News As Hindus rejoice, Muslim reaction mixed over Ayodhya verdict Al Jazeera English Ayodhya verdict explained in one minute BBC News The 2 Big Political Implications Of The Ayodhya Verdict ND…",1
,Supreme Court's judgment in Ayodhya case: reactions,,Reactions from political parties across India over the Supreme Court’s Ayodhya case verdict,1
,“Remember together”: A divided UK seeks unity on Remembrance Sunday,,"""Many communities, whose ancestors served side by side, now live side by side in a multicultural Britain.""",1
,House of Representatives to host second hearing on human rights in Kashmir today,,Witnesses will examine the situation in Jammu and Kashmir and offer recommendations for action by Congress,1
